"","Company","SeasonEpisode","Number of Presenters","Eth1","Eth2","Eth3","Eth4","Eth5","Male1","Male2","Male3","Male4","Female1","Female2","Female3","Female4","Novelties","Health / Wellness","Food and Beverage","Business Services","Lifestyle / Home","Software / Tech","Children / Education","Automotive","Fashion / Beauty","Media / Entertainment","Fitness / Sports / Outdoors","Pet Products","Travel","Green/CleanTech","Uncertain / Other","MalePresenter","FemalePresenter","MixedGenderPresenters","CompanyState","AmountRequested","EquityRequested","ImpliedValuationRequested","BarbaraCorcoran","MarkCuban","LoriGreiner","RobertHerjavec","DaymondJohn","KevinOLeary","KevinHarrington","Guest"
"24","CBSFoods","Shark.Tank.S02E01",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"TN",2e+05,0.25,8e+05,1,1,0,1,1,1,0,0
"25","WurkinStiffs","Shark.Tank.S02E01",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"FL",85000,0.1,850000,1,1,0,1,1,1,0,0
"26","WakenBacon","Shark.Tank.S02E02",1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",40000,0.2,2e+05,1,1,0,1,1,1,0,0
"27","PureAyre","Shark.Tank.S02E03",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"WA",150000,0.1,1500000,1,0,0,1,1,1,1,0
"28","FlipOutz","Shark.Tank.S02E03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"NC",1e+05,0.2,5e+05,1,0,0,1,1,1,1,0
"29","ClipnGo","Shark.Tank.S02E05",1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"IL",5e+05,0.3,1666667,1,0,0,1,1,1,1,0
"30","HotMamaGowns","Shark.Tank.S02E06",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"MD",30000,0.2,150000,1,0,0,1,1,1,1,0
"31","SweepEasy","Shark.Tank.S02E06",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"AZ",40000,0.25,160000,1,0,0,1,1,1,1,0
"32","DaisyCakes","Shark.Tank.S02E06",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"SC",50000,0.25,2e+05,1,0,0,1,1,1,1,0
"33","OriginalRunnerCompany","Shark.Tank.S02E08",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"NJ",250000,0.15,1666667,1,1,0,1,1,1,0,0
"34","MyWonderfulLife","Shark.Tank.S03E01",2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"MN",1e+05,0.1,1e+06,1,1,0,1,1,1,0,0
"35","Invis-A-Rack","Shark.Tank.S03E02",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"NC",1e+05,0.1,1e+06,1,1,0,1,1,1,0,0
"36","RickSmithJr.VegasMagicShow","Shark.Tank.S03E02",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"OH",1500000,0.2,7500000,1,1,0,1,1,1,0,0
"37","TailLightz","Shark.Tank.S03E03",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"CA",50000,0.5,1e+05,1,1,0,1,1,1,0,0
"38","TheSwilt","Shark.Tank.S03E04",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"CA",30000,0.35,85714,0,1,1,1,1,1,0,0
"39","ReadeREST","Shark.Tank.S03E06",1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"TX",150000,0.15,1e+06,0,1,1,1,1,1,0,0
"40","TheHeatHelper","Shark.Tank.S03E07",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"KS",1e+05,0.5,2e+05,1,1,0,1,1,1,0,0
"41","TheSmartBaker","Shark.Tank.S03E07",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"FL",75000,0.25,3e+05,1,1,0,1,1,1,0,0
"42","NardosNatural","Shark.Tank.S03E08",4,2,2,2,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"FL",75000,0.12,625000,1,1,0,1,1,1,0,0
"43","TheOriginalProfender","Shark.Tank.S03E08",1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"PA",75000,0.15,5e+05,1,1,0,1,1,1,0,0
"44","Litter","Shark.Tank.S03E08",2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"CA",80000,0.51,156863,1,1,0,1,1,1,0,0
"45","TowerPaddleBoards","Shark.Tank.S03E09",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"CA",150000,0.1,1500000,1,1,0,1,1,1,0,0
"46","InstantThighLift","Shark.Tank.S03E09",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"FL",1e+05,0.25,4e+05,1,1,0,1,1,1,0,0
"47","GoGoGear","Shark.Tank.S03E10",2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"CA",3e+05,0.15,2e+06,1,1,0,1,1,1,0,0
"48","TheAveVenice","Shark.Tank.S03E10",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"CA",125000,0.15,833333,1,1,0,1,1,1,0,0
"49","TheSullivanGenerator","Shark.Tank.S03E11",1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"TX",1e+06,0.1,1e+07,1,1,0,1,1,1,0,0
"50","ViewSport","Shark.Tank.S03E11",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"NY",5e+05,0.2,2500000,1,1,0,1,1,1,0,0
"51","DebbieBrooksHandbags","Shark.Tank.S03E12",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"NY",540000,0.2,2700000,0,1,1,1,1,1,0,0
"52","NailPak","Shark.Tank.S03E12",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"CT",50000,0.2,250000,0,1,1,1,1,1,0,0
"53","VillyCustoms","Shark.Tank.S03E13",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"TX",5e+05,0.33,1515152,1,1,0,1,1,1,0,0
"54","AirBedz","Shark.Tank.S03E13",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",250000,0.15,1666667,1,1,0,1,1,1,0,0
"55","CoatChex","Shark.Tank.S04E01",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NY",2e+05,0.1,2e+06,1,1,0,1,1,1,0,0
"56","BevBuckle","Shark.Tank.S04E01",1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"CO",50000,0.1,5e+05,1,1,0,1,1,1,0,0
"57","FuzziBunz","Shark.Tank.S04E03",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"LA",5e+05,0.15,3333333,1,1,0,1,1,1,0,0
"58","PostureNow","Shark.Tank.S04E03",3,2,2,2,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"OR",1e+05,0.15,666667,1,1,0,1,1,1,0,0
"59","BagBowl","Shark.Tank.S04E04",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"MO",40000,0.33,121212,0,1,1,1,1,1,0,0
"60","Zomm","Shark.Tank.S04E04",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"OK",2e+06,0.1,2e+07,0,1,1,1,1,1,0,0
"61","LiftHamper","Shark.Tank.S04E04",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"UT",85000,0.12,708333,0,1,1,1,1,1,0,0
"62","MarzSprays","Shark.Tank.S04E05",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",2e+05,0.1,2e+06,1,1,0,1,1,1,0,0
"63","CozyBugs","Shark.Tank.S04E05",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"CA",50000,0.25,2e+05,1,1,0,1,1,1,0,0
"64","WiredWaffles","Shark.Tank.S04E05",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"WA",75000,0.25,3e+05,1,1,0,1,1,1,0,0
"65","CousinsMaineLobster","Shark.Tank.S04E06",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",55000,0.05,1100000,1,1,0,1,1,1,0,0
"66","ScrubDaddy","Shark.Tank.S04E07",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"PA",1e+05,0.1,1e+06,0,1,1,1,1,1,0,0
"67","PlateTopper","Shark.Tank.S04E08",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",90000,0.05,1800000,0,1,1,1,1,1,0,0
"68","NearlyNewlywed","Shark.Tank.S04E10",2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"NY",35000,0.1,350000,1,1,0,1,1,1,0,0
"69","FatAssFudge","Shark.Tank.S04E11",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"NY",250000,0.05,5e+06,1,1,0,1,1,1,0,0
"70","TheCoop","Shark.Tank.S04E11",2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"CA",150000,0.15,1e+06,1,1,0,1,1,1,0,0
"71","TheLivingChristmasTreeCompany","Shark.Tank.S04E11",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",150000,0.3,5e+05,1,1,0,1,1,1,0,0
"72","TheGameFaceCompany","Shark.Tank.S04E12",3,2,2,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"TX",450000,0.25,1800000,0,1,1,1,1,1,0,0
"73","SubZeroIceCream","Shark.Tank.S04E13",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"UT",3e+05,0.12,2500000,0,1,1,1,1,1,0,0
"74","Urbio","Shark.Tank.S04E13",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",3e+05,0.12,2500000,0,1,1,1,1,1,0,0
"75","GottaHaveSMore","Shark.Tank.S04E16",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"CA",75000,0.25,3e+05,1,1,0,1,1,1,0,0
"76","JeskaShoeCompany","Shark.Tank.S04E18",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"AR",70000,0.3,233333,1,1,0,1,1,1,0,0
"77","NutsnMore","Shark.Tank.S04E18",3,2,2,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"RI",250000,0.2,1250000,1,1,0,1,1,1,0,0
"78","Lose12inchesin12Workouts","Shark.Tank.S04E19",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"CO",120000,0.25,480000,0,1,1,1,1,1,0,0
"79","BabyLovesDisco","Shark.Tank.S04E19",3,2,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"OR",150000,0.1,1500000,0,1,1,1,1,1,0,0
"80","Cellhelmet","Shark.Tank.S04E19",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"PA",160000,0.2,8e+05,0,1,1,1,1,1,0,0
"81","DropStop","Shark.Tank.S04E20",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"CA",3e+05,0.15,2e+06,0,1,1,1,1,1,0,0
"82","EchoValleyMeats","Shark.Tank.S04E21",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"IL",150000,0.2,750000,0,1,1,1,1,1,0,0
"83","GeekChic","Shark.Tank.S04E25",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"WA",1e+05,0.05,2e+06,0,1,1,1,1,1,0,0
"84","JonesScones","Shark.Tank.S04E25",1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"CO",1e+05,0.25,4e+05,0,1,1,1,1,1,0,0
"85","TomChee","Shark.Tank.S04E26",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"OH",6e+05,0.1,6e+06,1,1,0,1,1,1,0,0
"86","PostcardontheRun","Shark.Tank.S05E01",1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",3e+05,0.05,6e+06,1,1,1,1,0,1,0,0
"87","LynnaesSweetPickles","Shark.Tank.S05E01",2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"WA",125000,0.2,625000,1,1,1,1,0,1,0,0
"88","SweetBallz","Shark.Tank.S05E01",2,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"TX",250000,0.1,2500000,1,1,1,1,0,1,0,0
"89","KaneCouture","Shark.Tank.S05E02",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"NY",150000,0.33,454545,0,1,1,1,1,1,0,0
"90","ManMedals","Shark.Tank.S05E02",2,4,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"MI",10000,0.1,1e+05,0,1,1,1,1,1,0,0
"91","Hamboards","Shark.Tank.S05E04",3,2,2,4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"CA",1e+05,0.15,666667,0,1,1,1,1,1,0,0
"92","SundayNightSlowJams","Shark.Tank.S05E04",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"CA",75000,0.1,750000,0,1,1,1,1,1,0,0
"93","BareEase","Shark.Tank.S05E05",1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"CA",50000,0.2,250000,1,1,1,1,0,1,0,0
"94","TenThirtyOneProductions","Shark.Tank.S05E06",1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"CA",2e+06,0.1,2e+07,0,1,1,1,1,1,0,0
"95","TotalMerchantResources","Shark.Tank.S05E06",2,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"NJ",2e+05,0.2,1e+06,0,1,1,1,1,1,0,0
"96","KymeraBodyBoard","Shark.Tank.S05E07",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"CA",250000,0.2,1250000,0,1,1,0,1,1,0,1
"97","Bellybuds","Shark.Tank.S05E08",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"CA",5e+05,0.13,4e+06,1,1,1,1,0,1,0,0
"98","SchulziesBreadPudding","Shark.Tank.S05E08",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"CA",160000,0.2,8e+05,1,1,1,1,0,1,0,0
"99","SurpriseRide","Shark.Tank.S05E09",2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"DC",110000,0.1,1100000,0,1,1,1,1,1,0,0
"100","Chocomize","Shark.Tank.S05E10",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NY",5e+05,0.2,2500000,1,1,1,1,0,1,0,0
"101","SpiritHoods","Shark.Tank.S05E11",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"CA",450000,0.15,3e+06,1,1,0,1,1,1,0,0
"102","TheHanukkahTreeTopper","Shark.Tank.S05E12",1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",50000,0.15,333333,0,1,1,1,1,1,0,0
"103","Groovebook","Shark.Tank.S05E13",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"CA",150000,0.2,750000,0,1,1,1,1,1,0,0
"104","FreshlyPicked","Shark.Tank.S05E15",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,"UT",150000,0.1,1500000,0,1,1,1,1,1,0,0
"105","LifeCaps","Shark.Tank.S05E15",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,"UT",2e+05,0.3,666667,0,1,1,1,1,1,0,0
"106","CowWow","Shark.Tank.S05E16",2,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"CA",250000,0.1,2500000,0,1,1,0,1,1,0,1
"107","Nexersys","Shark.Tank.S05E16",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"TX",2e+06,0.1,2e+07,0,1,1,0,1,1,0,1
"108","TheCookieDoughCafe","Shark.Tank.S05E16",2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IL",50000,0.2,250000,0,1,1,0,1,1,0,1
"109","Bambooee","Shark.Tank.S05E18",2,4,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,"CA",2e+05,0.1,2e+06,1,1,1,1,0,1,0,0
"110","SqueekyKnees","Shark.Tank.S05E19",2,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"CA",80000,0.2,4e+05,0,1,1,1,1,1,0,0
"111","Revolights","Shark.Tank.S05E19",1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"CA",150000,0.1,1500000,0,1,1,1,1,1,0,0
